nohup: ignoring input
==============================================================
🦅 KIMIA GLOBAL — از رکورد تو به قدرت جهانی
==============================================================
👑 Owner: COMMANDER
🏛️  Official: KIMIA
🔐 Master Hash: 912a0c32a9158794
🔐 Signature: 8764a02e7f7710ee5277be777e659eaa
💼 Wallet: TKr9W9EBV7bPuyMuJiLbM4uJqUK5ei6B28

✅ API HTML: /data/data/com.termux/files/home/KIMIA_GLOBAL/api/index.html
✅ WIPO: /data/data/com.termux/files/home/KIMIA_GLOBAL/wipo/submission.txt
✅ Agent Report: /data/data/com.termux/files/home/KIMIA_GLOBAL/agent/report.txt
✅ Identity: /data/data/com.termux/files/home/KIMIA_GLOBAL/identity/identity.json

==============================================================
🎯 شروع شکار خودمختار...
==============================================================

[423] منابع:9/7 | BTC:$76766.9200 | USDT:228971.000 | ARB:-0.033% | فرصت:0
[426] منابع:9/7 | BTC:$76766.9100 | USDT:228971.000 | ARB:-0.033% | فرصت:0
[429] منابع:9/7 | BTC:$76766.9200 | USDT:228971.000 | ARB:-0.033% | فرصت:0
[432] منابع:9/7 | BTC:$76766.9100 | USDT:228971.000 | ARB:-0.033% | فرصت:0
[435] منابع:10/7 | BTC:$76766.9200 | USDT:228971.000 | ARB:-0.033% | فرصت:0
[438] منابع:10/7 | BTC:$76766.9200 | USDT:228875.000 | ARB:0.0080% | فرصت:0
[441] منابع:9/7 | BTC:$76766.9200 | USDT:228875.000 | ARB:0.0080% | فرصت:0
[444] منابع:9/7 | BTC:$76766.9100 | USDT:228875.000 | ARB:0.0080% | فرصت:0
[447] منابع:9/7 | BTC:$76766.9100 | USDT:228875.000 | ARB:0.0080% | فرصت:0
[450] منابع:9/7 | BTC:$76766.9200 | USDT:228875.000 | ARB:0.0080% | فرصت:0
[453] منابع:9/7 | BTC:$76766.9200 | USDT:228875.000 | ARB:0.0080% | فرصت:0
[456] منابع:10/7 | BTC:$76750.0100 | USDT:228875.000 | ARB:0.0301% | فرصت:0
[459] منابع:7/7 | BTC:$76750.0100 | USDT:— | ARB:0% | فرصت:0
[462] منابع:9/7 | BTC:$76768.5300 | USDT:228875.000 | ARB:0.0059% | فرصت:0
[465] منابع:9/7 | BTC:$76772.0100 | USDT:228875.000 | ARB:0.0014% | فرصت:0
[468] منابع:9/7 | BTC:$76788.7800 | USDT:228875.000 | ARB:-0.020% | فرصت:0
[471] منابع:9/7 | BTC:$76793.2300 | USDT:228875.000 | ARB:-0.026% | فرصت:0
[474] منابع:10/7 | BTC:$76796.0000 | USDT:228875.000 | ARB:-0.029% | فرصت:0
[477] منابع:10/7 | BTC:$76796.0100 | USDT:228875.000 | ARB:-0.029% | فرصت:0
[480] منابع:4/7 | BTC:$— | USDT:— | ARB:0% | فرصت:0
[483] منابع:9/7 | BTC:$76796.0000 | USDT:228875.000 | ARB:-0.029% | فرصت:0
[486] منابع:9/7 | BTC:$76780.4200 | USDT:228875.000 | ARB:-0.009% | فرصت:0
[489] منابع:8/7 | BTC:$— | USDT:228875.000 | ARB:0% | فرصت:0
[492] منابع:10/7 | BTC:$76762.0200 | USDT:228875.000 | ARB:0.0144% | فرصت:0
[495] منابع:10/7 | BTC:$76760.2400 | USDT:228875.000 | ARB:0.0167% | فرصت:0
[498] منابع:9/7 | BTC:$76760.2400 | USDT:228875.000 | ARB:0.0167% | فرصت:0
[501] منابع:9/7 | BTC:$76750.0000 | USDT:228875.000 | ARB:0.0301% | فرصت:0
[504] منابع:9/7 | BTC:$76737.0900 | USDT:228875.000 | ARB:0.0469% | فرصت:0
[507] منابع:9/7 | BTC:$76743.2400 | USDT:228875.000 | ARB:0.0389% | فرصت:0
